item_number,item_description,product_category,sheet_source,order,stock,price,has_pricing,has_stock_info
10164,GM MOONG SPLIT (CHILKA) 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10165,GM MOONG SPLIT (CHILKA) 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10166,GM MOONG WHOLE BIG 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10169,GM PREMIUM BASMATI RICE 20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10170,GM RICE FLOUR 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10173,GM SONA MASOORI RICE 4X10LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10174,GM SONA MASOORI RICE 2X20LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10175,GM SONA MASOORI RICE 40LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10178,GM TOOR DAL OILY 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10179,GM TOOR DAL OILY 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10180,GM URAD DAL 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10181,GM URAD DAL 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10182,GM URAD DAL 5X8LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10183,GM URAD GOTA 10X4LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10185,GM URAD SPLIT (CHILKA) 20X2LB,Grain Market,GRAIN MARKET PRODUCTS,,,,FALSE,FALSE
10186,GM VEGETABLE OIL 32.5L,Main Page,MAIN PAGE,,,,FALSE,FALSE
10186,VEGETABLE OIL 32.5L,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10190,GOLDEN RAISINS (CAL) 30LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10197,MOTHER'S PRIDE FAN BROOM (GRASS BROOM) 50/CS,Non-Food,NON-FOOD PRODUCTS,,0,150,TRUE,TRUE
10198,GREEN CARDAMOM 22LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10198,GREEN CARDAMOM DTI PACKING PP,Main Page,MAIN PAGE,,,,FALSE,FALSE
10200,GREEN MUKHWAS 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10202,GREEN RAISINS (SUNDERKHANI) 30LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10204,VATANA GREEN 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10207,HALEEM WHEAT 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10221,CHOCOLATE DELIGHT 12X1KG,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10222,CHOCOLATE 24X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10226,PLAIN CLASSIC MALT 24X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10228,HORSE GRAM 55LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
10345,JUNIOR CHOCOLATE 24X500G,Branded,BRANDED PRODUCTS,,,,FALSE,FALSE
10347,KABULI CHANA 50LB,Bulk,BULK PRODUCTS,,,,FALSE,FALSE
